Year,Census Division and State,Kilograms of CO2 per Megawatthour of Generation
2020,New England,259
2020,Connecticut,247
2020,Maine,182
2020,Massachusetts,437
2020,New Hampshire,106
2020,Rhode Island,377
2020,Vermont,4
2020,Middle Atlantic,271
2020,New Jersey,244
2020,New York,207
2020,Pennsylvania,314
2020,East North Central,481
2020,Illinois,274
2020,Indiana,720
2020,Michigan,499
2020,Ohio,556
2020,Wisconsin,540
2020,West North Central,497
2020,Iowa,354
2020,Kansas,373
2020,Minnesota,371
2020,Missouri,746
2020,Nebraska,569
2020,North Dakota,650
2020,South Dakota,167
2020,South Atlantic,368
2020,Delaware,512
2020,District of Columbia,535
2020,Florida,386
2020,Georgia,332
2020,Maryland,284
2020,North Carolina,309
2020,South Carolina,234
2020,Virginia,309
2020,West Virginia,874
2020,East South Central,414
2020,Alabama,326
2020,Kentucky,783
2020,Mississippi,402
2020,Tennessee,283
2020,West South Central,416
2020,Arkansas,430
2020,Louisiana,441
2020,Oklahoma,314
2020,Texas,428
2020,Mountain,484
2020,Arizona,327
2020,Colorado,537
2020,Idaho,126
2020,Montana,446
2020,Nevada,333
2020,New Mexico,547
2020,Utah,709
2020,Wyoming,894
2020,Pacific Contiguous,174
2020,California,225
2020,Oregon,147
2020,Washington,103
2020,Pacific Noncontiguous,643
2020,Alaska,551
2020,Hawaii,707
2020,U.S. Total,388
"Notes:
The emissions data presented include total emissions from both electricity generation and the production of useful thermal output.
See Electric Power Annual, Appendix A, Technical Notes, for a description of the sources and methodology used to develop the emissions estimates.
Displayed values of zero may represent small values that round to zero. The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
Sources: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report; U.S. Energy Information Administration, Form EIA-860, 'Annual Electric Generator Report'; and calculations made by the Office of Electricity, Renewables, and Uranium Statistics, U.S. Energy Information Administration.",,
