Year,Census Division and State,Kilograms of CO2 per Megawatthour of Generation
2014,New England,278
2014,Connecticut,251
2014,Maine,257
2014,Massachusetts,415
2014,New Hampshire,177
2014,Rhode Island,408
2014,Vermont,2
2014,Middle Atlantic,362
2014,New Jersey,270
2014,New York,248
2014,Pennsylvania,462
2014,East North Central,658
2014,Illinois,478
2014,Indiana,907
2014,Michigan,602
2014,Ohio,734
2014,Wisconsin,717
2014,West North Central,708
2014,Iowa,691
2014,Kansas,639
2014,Minnesota,573
2014,Missouri,862
2014,Nebraska,668
2014,North Dakota,834
2014,South Dakota,281
2014,South Atlantic,509
2014,Delaware,555
2014,District of Columbia,716
2014,Florida,492
2014,Georgia,497
2014,Maryland,547
2014,North Carolina,457
2014,South Carolina,341
2014,Virginia,437
2014,West Virginia,908
2014,East South Central,584
2014,Alabama,453
2014,Kentucky,944
2014,Mississippi,436
2014,Tennessee,521
2014,West South Central,583
2014,Arkansas,605
2014,Louisiana,548
2014,Oklahoma,628
2014,Texas,582
2014,Mountain,629
2014,Arizona,478
2014,Colorado,714
2014,Idaho,98
2014,Montana,584
2014,Nevada,451
2014,New Mexico,765
2014,Utah,804
2014,Wyoming,953
2014,Pacific Contiguous,209
2014,California,289
2014,Oregon,139
2014,Washington,107
2014,Pacific Noncontiguous,677
2014,Alaska,589
2014,Hawaii,730
2014,U.S. Total,530
"Notes:
The emissions data presented include total emissions from both electricity generation and the production of useful thermal output.
See Electric Power Annual, Appendix A, Technical Notes, for a description of the sources and methodology used to develop the emissions estimates.
Displayed values of zero may represent small values that round to zero. The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
Sources: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report; U.S. Energy Information Administration, Form EIA-860, 'Annual Electric Generator Report'; and calculations made by the Office of Electricity, Renewables, and Uranium Statistics, U.S. Energy Information Administration.",,
