Year,Census Division and State,Kilograms of CO2 per Megawatthour of Generation
2013,New England,290
2013,Connecticut,245
2013,Maine,262
2013,Massachusetts,448
2013,New Hampshire,174
2013,Rhode Island,454
2013,Vermont,2
2013,Middle Atlantic,369
2013,New Jersey,244
2013,New York,246
2013,Pennsylvania,479
2013,East North Central,667
2013,Illinois,482
2013,Indiana,905
2013,Michigan,637
2013,Ohio,746
2013,Wisconsin,723
2013,West North Central,731
2013,Iowa,691
2013,Kansas,683
2013,Minnesota,570
2013,Missouri,855
2013,Nebraska,756
2013,North Dakota,864
2013,South Dakota,319
2013,South Atlantic,498
2013,Delaware,608
2013,District of Columbia,740
2013,Florida,489
2013,Georgia,470
2013,Maryland,529
2013,North Carolina,452
2013,South Carolina,302
2013,Virginia,451
2013,West Virginia,908
2013,East South Central,571
2013,Alabama,445
2013,Kentucky,951
2013,Mississippi,429
2013,Tennessee,479
2013,West South Central,597
2013,Arkansas,619
2013,Louisiana,571
2013,Oklahoma,628
2013,Texas,594
2013,Mountain,649
2013,Arizona,488
2013,Colorado,744
2013,Idaho,128
2013,Montana,612
2013,Nevada,431
2013,New Mexico,795
2013,Utah,840
2013,Wyoming,966
2013,Pacific Contiguous,212
2013,California,287
2013,Oregon,159
2013,Washington,110
2013,Pacific Noncontiguous,668
2013,Alaska,580
2013,Hawaii,723
2013,U.S. Total,535
"Notes:
The emissions data presented include total emissions from both electricity generation and the production of useful thermal output.
See Electric Power Annual, Appendix A, Technical Notes, for a description of the sources and methodology used to develop the emissions estimates.
Displayed values of zero may represent small values that round to zero. The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
Sources: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report; U.S. Energy Information Administration, Form EIA-860, 'Annual Electric Generator Report'; and calculations made by the Office of Electricity, Renewables, and Uranium Statistics, U.S. Energy Information Administration.",,
